TAXID,Command,Ethnicity
951543,009 DET SQUAD,HISPANIC
969521,114 PRECINCT,WHITE
964924,TRANSIT DISTRICT 12,HISPANIC
945508,CITYWIDE TRAFFIC TF,BLACK
936201,WORLD TRADE CENTER COMMAND,HISPANIC
957379,TRANSIT DISTRICT 11,HISPANIC
944361,CRITICAL RESPONSE COMMAND,BLACK
978397,094 PRECINCT,BLACK
946780,LICENSE DIVISION,BLACK
973254,063 PRECINCT,HISPANIC
971830,PBMS GR LARC/PICKPOCKET TEAM,BLACK
956434,AVIATION UNIT,WHITE
948664,EMER SERV SQ 08,WHITE
982138,RTS RECRUITS,BLACK
929719,MN CRIME ANALYSIS UNIT,HISPANIC
979724,084 PRECINCT,BLACK
979725,067 PRECINCT,BLACK
952462,DA SQ NY COUNTY,BLACK
977776,TRANSIT DISTRICT 2,HISPANIC
945051,HOUSING PSA 9,BLACK
966964,107 PRECINCT,WHITE
977060,123 PRECINCT,WHITE
962255,TRANSIT DISTRICT 23,BLACK
950075,009 PRECINCT,HISPANIC
934488,077 PRECINCT,WHITE
964925,076 PRECINCT,BLACK
967774,075 PRECINCT,WHITE
960245,TRANSIT DISTRICT 11,HISPANIC
950076,MTS DET SQUAD,BLACK
976222,TRANSIT DISTRICT 20,HISPANIC
948665,FORCE INVESTIGATION DIVISION,HISPANIC
941421,078 PRECINCT,BLACK
980388,079 PRECINCT,HISPANIC
948666,BRONX VICE MODULE,WHITE
960244,HOUSING PSA 7,BLACK
951544,CAD MEDICAL ASSESSMENT SECTION,HISPANIC
964926,HARBOR UNIT,WHITE
978398,HOUSING PSA 2,BLACK
972531,001 PRECINCT,HISPANIC
964927,TRANSIT DISTRICT 11,HISPANIC
981086,RTS RECRUITS,WHITE
977777,TRANSIT DISTRICT 11,HISPANIC
946782,PBQN CITI FIELD DETAIL,HISPANIC
982139,RTS RECRUITS,HISPANIC
973947,030 PRECINCT,HISPANIC
944364,TRANSIT DISTRICT 1,HISPANIC
961643,041 DET SQUAD,HISPANIC
972532,HOUSING PSA 8,HISPANIC
982012,RTS RECRUITS,HISPANIC
963402,PBQN COMMUNITY RESPONSE TEAM,HISPANIC
942994,PBSI FERRY SECURITY UNIT,ASIAN
924972,COD INVESTIGATION REVIEW SECTION,BLACK
968275,075 PRECINCT,WHITE
978399,007 PRECINCT,BLACK
961644,LATENT PRINT SECTION,BLACK
944365,H&W EMPLOYEE ASSISTANCE UNIT,WHITE
981087,RTS RECRUITS,WHITE
938062,CITYWIDE TRAFFIC TF,WHITE
941423,POLICE COMMISSIONER,BLACK
950077,060 PCT CONEY ISLAND DETAIL,WHITE
948667,019 PRECINCT,WHITE
966965,041 DET SQUAD,HISPANIC
932132,CRIME SCENE UNIT,HISPANIC
956786,INTERNAL AFFAIRS BUREAU,HISPANIC
977061,109 PRECINCT,WHITE
920028,DET BORO QNS NORTH HOMICIDE SQ,HISPANIC
981088,RTS RECRUITS,ASIAN
979060,116 PRECINCT,BLACK
971336,061 PRECINCT,BLACK
939918,BRONX CHILD ABUSE SQUAD,ASIAN
927924,025 DET SQUAD,WHITE
962256,115 PRECINCT,ASIAN
936203,TRANSIT DISTRICT 3,ASIAN
929724,MGMT ORDERS & DIRECTIVES SECTION,WHITE
948669,040 PRECINCT,ASIAN
942995,023 PRECINCT,HISPANIC
950078,SIB CHANGE MANAGEMENT OFFICE,ASIAN
951545,HOUSING PSA 3,ASIAN
981090,RTS RECRUITS,ASIAN
963873,105TH DET SQUAD,ASIAN
953681,CENTRAL PARK PRECINCT,ASIAN
973948,116 PRECINCT,ASIAN
915053,047 PRECINCT,HISPANIC
952463,041 PRECINCT,ASIAN
981091,RTS RECRUITS,ASIAN
966966,BROOKLYN COURT SECTION,ASIAN
954549,PBQS JAMAICA AVE BID,ASIAN
968277,075 PRECINCT,ASIAN
953682,FORCE INVESTIGATION DIVISION,ASIAN
964928,019 PRECINCT,ASIAN
968276,TIMES SQUARE UNIT,ASIAN
978401,101 PRECINCT,ASIAN
968965,116 PRECINCT,ASIAN
964392,UNIFORMED PROMOTIONS TRN UNIT,ASIAN
970416,116 PRECINCT,ASIAN
977778,TRANSIT DISTRICT 4,ASIAN
954550,CRIME SCENE UNIT,ASIAN
957380,043 PRECINCT,ASIAN
980389,HOUSING PSA 7,ASIAN
944366,FINANCIAL CRIMES TASK FORCE,WHITE
981089,RTS RECRUITS,ASIAN
957381,LEGAL BUREAU,WHITE
959114,123 PRECINCT,HISPANIC
978400,HOUSING PSA 2,ASIAN
935450,CT OPERATIONAL SUPPORT SECTION,HISPANIC
942998,MANAGEMENT ANALYSIS SECTION,WHITE
949841,CHIEF CRIME CONTROL STRATEGIES,ASIAN
982140,RTS RECRUITS,HISPANIC
968278,030 PRECINCT,ASIAN
957383,018 PCT-MIDTOWN NO. PCT,WHITE
950079,032 PRECINCT,WHITE
964929,TRANSIT DISTRICT 11,WHITE
977779,TRANSIT DISTRICT 3,HISPANIC
961645,044 PRECINCT,WHITE
942996,BROOKLYN COURT SECTION,ASIAN
933700,QUEENS STANDARDS & ASSESSMENTS UNIT,WHITE
942999,109 PRECINCT,WHITE
959491,WARRANT SECTION,WHITE
943000,TRANSIT STANDARDS & ASSESSMENTS UNIT,BLACK
942997,001 PRECINCT,HISPANIC
952464,STRATEGIC RESP GRP 3 BROOKLYN,WHITE
955427,STRATEGIC RESP GRP 1 MANHATTAN,WHITE
982141,RTS RECRUITS,HISPANIC
972533,042 PRECINCT,ASIAN
951546,PB PAID DETAIL UNIT,WHITE
945511,075 PRECINCT,WHITE
965951,NARC BORO MANHATTAN SOUTH,WHITE
956436,HOUSING COMMUNITY AFFAIRS SECT,HISPANIC
972534,076 PRECINCT,WHITE
950080,STATEN ISLAND STANDARDS & ASSESSMENTS UNIT,WHITE
973255,116 PRECINCT,HISPANIC
934492,WORLD TRADE CENTER COMMAND,WHITE
941426,MOUNTED UNIT,WHITE
960247,032 PRECINCT,WHITE
965664,079 PRECINCT,HISPANIC
950081,LICENSE DIVISION,WHITE
938064,QUALITY ASSURANCE SECTION,BLACK
964393,AC ZONE I QUEENS/BKLYN/S.I.,WHITE
948181,BN CRIME ANALYSIS UNIT,WHITE
934493,DET BORO STATEN ISLAND,WHITE
975358,BROOKLYN COURT SECTION,WHITE
954551,TIMES SQUARE UNIT,HISPANIC
963404,043 PRECINCT,BLACK
977478,018 PCT-MIDTOWN NO. PCT,WHITE
946783,010 PRECINCT,WHITE
950082,YOUTH STRATEGIES DIVISION,WHITE
952466,026 PRECINCT,WHITE
952467,069 PRECINCT,WHITE
975359,123 PRECINCT,WHITE
938066,AUTO POUNDS,WHITE
952468,OPERATIONS & ANALYSIS SECTION,WHITE
968967,084 PRECINCT,WHITE
952465,114 PRECINCT,WHITE
980390,075 PRECINCT,HISPANIC
961646,TRANSIT DISTRICT 32,HISPANIC
957384,POLICE ACADEMY,BLACK
935905,107TH DET SQUAD,WHITE
980391,047 PRECINCT,HISPANIC
981092,RTS RECRUITS,WHITE
958309,075 DET SQUAD,WHITE
979061,032 PRECINCT,BLACK
963874,TRANSIT DISTRICT 34,WHITE
953685,PBMS GR LARC/PICKPOCKET TEAM,HISPANIC
943002,HOUSING PSA 6,BLACK
971337,104 PRECINCT,WHITE
959492,025 PRECINCT,WHITE
936208,WARRANT SECTION,WHITE
953684,CRIMINAL INTELLIGENCE SECTION,WHITE
962258,102 PRECINCT,WHITE
924951,NARC BORO BROOKLYN SOUTH,WHITE
971832,108 PRECINCT,BLACK
950083,TRANSIT DISTRICT 30,WHITE
943003,QUEENS ADULT SEX CRIMES SQUAD,WHITE
981093,RTS RECRUITS,WHITE
943374,OPERATIONS UNIT,WHITE
929427,BOMB SQUAD,WHITE
948674,120 PRECINCT,WHITE
970417,048 PRECINCT,BLACK
943004,072 DET SQUAD,WHITE
945512,077 PRECINCT,BLACK
953699,MEDICAL DIVISION,HISPANIC
946784,HOUSING PSA 4,WHITE
978402,050 PRECINCT,HISPANIC
967776,073 PRECINCT,WHITE
929733,DBQS EVIDENCE COLLECTION TEAM,WHITE
951547,TRANSIT BORO BRONX/QUEENS,WHITE
927929,DB TRANSIT SPECIAL INV SQUAD,HISPANIC
973257,060 PCT CONEY ISLAND DETAIL,WHITE
938068,014 PCT-MIDTOWN SO. PCT,WHITE
936210,QUALITY ASSURANCE SECTION,BLACK
980392,042 PRECINCT,BLACK
979726,TRANSIT DISTRICT 30,BLACK
934496,TRAINING BUREAU,WHITE
929732,TECH. ASSIST. & RESPONSE UNIT,WHITE
957385,HOUSING PSA 3,BLACK
936209,AVIATION UNIT,HISPANIC
975998,ORCHARD BEACH DETAIL,BLACK
954552,073 PRECINCT,HISPANIC
938756,010 PRECINCT,WHITE
939922,LOWER MANHATTAN SECURITY INITIATIVE,WHITE
960251,HOUSING PSA 2,WHITE
952470,060 PCT CONEY ISLAND DETAIL,BLACK
973949,109 PRECINCT,ASIAN
960253,090 DET SQUAD,ASIAN
950084,MILITARY & EXTENDED LEAVE DESK,HISPANIC
981094,RTS RECRUITS,ASIAN
970418,COMMUNITY OUTREACH DIVISION,ASIAN
980393,HOUSING PSA 3,ASIAN
976590,044 PRECINCT,ASIAN
973950,023 PRECINCT,ASIAN
966465,HOUSING PSA 5,WHITE
956438,077 PRECINCT,ASIAN
980394,HOUSING PSA 7,ASIAN
949842,HOUSING PSA 9,HISPANIC
959493,CENTRAL PARK PRECINCT,WHITE
936212,101 PRECINCT,WHITE
936211,024 DET SQUAD,HISPANIC
956437,TB ANTI TERRORISM BKLYN,HISPANIC
976591,042 PRECINCT,WHITE
960252,044 PRECINCT,HISPANIC
945514,106 PRECINCT,WHITE
938069,WORLD TRADE CENTER COMMAND,WHITE
976939,121 PRECINCT,WHITE
979727,014 PCT-MIDTOWN SO. PCT,BLACK
941431,PUBLIC SECURITY SECTION,ASIAN
923562,CRITICAL RESPONSE COMMAND,WHITE
973951,TIMES SQUARE UNIT,WHITE
963875,EMER SERV SQ 06,WHITE
948676,043 PRECINCT,WHITE
979728,046 PRECINCT,BLACK
938070,EMERGENCY SERVICE UNIT,WHITE
973952,009 PRECINCT,WHITE
923563,017 DET SQUAD,WHITE
940381,PUBLIC SECURITY SECTION,BLACK
941432,116 PRECINCT,WHITE
950085,UNIFORMED PROMOTIONS TRN UNIT,WHITE
929734,HIGHWAY UNIT 3,WHITE
977479,106 PRECINCT,ASIAN
953687,075 PRECINCT,BLACK
946667,103 PRECINCT,BLACK
982142,RTS RECRUITS,BLACK
962259,069 PRECINCT,ASIAN
948461,YOUTH STRATEGIES DIVISION,BLACK
934497,TRANSIT DISTRICT 1,WHITE
958312,105 PRECINCT,BLACK
974753,TB TRAIN PATROL FORCE,BLACK
953686,079 PRECINCT,WHITE
927930,PA SITE & SECURITY UNIT,BLACK
957352,TRANSIT DISTRICT 23,ASIAN
955757,100 PRECINCT,BLACK
952472,SVU TRANSIT SPECIAL VICTIMS SQUAD,BLACK
960255,BROOKLYN SOUTH GRAND LARCENY SQD,WHITE
933645,RTCC FACIAL IDENTIFICATION SEC,BLACK
964932,052 PRECINCT,BLACK
971833,123 PRECINCT,WHITE
950086,JOINT TERRORIST TASK FORCE,WHITE
977780,TRANSIT DISTRICT 12,BLACK
953109,063 PRECINCT,WHITE
979001,100 PRECINCT,BLACK
952473,005 PRECINCT,WHITE
952474,LICENSE DIVISION,BLACK
939924,NARC BORO BROOKLYN NORTH,BLACK
958313,HOUSING PSA 7,BLACK
968279,075 DET SQUAD,BLACK
954553,CENTRAL PARK PRECINCT,WHITE
938073,112TH DET SQUAD,WHITE
948182,PATROL BORO QUEENS SOUTH,BLACK
915319,COD RAPID RESPONSE UNIT,BLACK
936214,BROOKLYN NORTH GRAND LARCENY SQD,BLACK
980395,075 PRECINCT,BLACK
979729,CANDIDATE ASSESSMENT DIVISION,BLACK
960618,TRANSIT DISTRICT 3,BLACK
939925,PBQS COMMUNITY AFFAIRS SECTION,BLACK
952475,INTERNAL AFFAIRS BUREAU,WHITE
932335,PSAC I SECURITY,HISPANIC
936213,PSA 6 VIPER 1,BLACK
975924,109 PRECINCT,WHITE
975292,066 PRECINCT,HISPANIC
941437,090 DET SQUAD,WHITE
951548,PBQN PUBLIC SAFETY TEAMS,HISPANIC
964394,STRATEGIC RESP GRP 3 BROOKLYN,WHITE
966967,042 PRECINCT,HISPANIC
962260,RTCC SOCIAL MEDIA ANALYSIS & RESEARCH TEAM,WHITE
973953,FLEET SERVICES DIVISION,HISPANIC
980396,088 PRECINCT,HISPANIC
959495,PBQS COMMUNITY RESPONSE TEAM,WHITE
934498,POLICE ACADEMY,WHITE
938074,PBBN COMMUNITY AFFAIRS SECTION,BLACK
936215,AVIATION UNIT,BLACK
969523,DEP COMM TRIALS,WHITE
938075,018 PCT-MIDTOWN NO. PCT,WHITE
946787,088 PRECINCT,WHITE
952476,BRONX ADULT SEX CRIMES SQUAD,WHITE
962261,EMER SERV SQ 03,WHITE
960257,070 PRECINCT,HISPANIC
933646,028 PRECINCT,BLACK
967777,024 PRECINCT,HISPANIC
977062,PSA 4 VIPER 6,BLACK
948679,112 PRECINCT,WHITE
975360,090 PRECINCT,HISPANIC
981095,RTS RECRUITS,WHITE
969525,STRATEGIC RESP GRP 3 BROOKLYN,WHITE
944368,HIGHWAY UNIT 1,WHITE
953688,TARU DRONE TEAM,WHITE
945515,EMER SERV SQ 10,WHITE
925298,073 PRECINCT,BLACK
929740,032 PRECINCT,BLACK
964933,026 PRECINCT,WHITE
961123,MILITARY & EXTENDED LEAVE DESK,HISPANIC
975999,122 PRECINCT,WHITE
967778,MILITARY & EXTENDED LEAVE DESK,BLACK
935823,112 PRECINCT,WHITE
974754,047 PRECINCT,BLACK
957388,HARBOR UNIT,WHITE
956440,CEIS MONEY LAUNDERING UNIT,BLACK
934500,075 PRECINCT,WHITE
977480,071 PRECINCT,BLACK
966466,060 DET SQUAD,WHITE
957389,GVSD Z1 VIOLENCE RED T/F,WHITE
948681,PATROL BORO BKLYN SOUTH,WHITE
957390,INTEL CIS FIO PROGRAM,WHITE
946789,046 PRECINCT,HISPANIC
944014,TRN BUR CMD LVL TRAINING UNIT,WHITE
958316,QUEENS ROBBERY SQUAD,WHITE
978403,105 PRECINCT,WHITE
972535,075 PRECINCT,HISPANIC
936218,007 DET SQUAD,ASIAN
954555,TRANSIT DISTRICT 30,WHITE
963405,094 PRECINCT,BLACK
975361,044 PRECINCT,BLACK
965952,PBQS COMMUNITY AFFAIRS SECTION,BLACK
946790,TRN BUR CMD LVL TRAINING UNIT,WHITE
948682,INTERNAL AFFAIRS BUREAU,BLACK
971338,040 PRECINCT,BLACK
938077,084 PRECINCT,WHITE
965666,"GUN VIOL SUPP DIV Z1 (BK,Q,SI)",WHITE
948677,DATA ANALYSIS & MAPPING SEC,HISPANIC
964395,TRANSIT DISTRICT 12,BLACK
958315,CRIME PREVENTION DIVISION,WHITE
940392,CEIS BORDER ENFORCEMENT SEC TASK FORCE,HISPANIC
957391,076 PRECINCT,WHITE
951550,110 PRECINCT,WHITE
936219,FACILITIES MANAGEMENT DIVISION,WHITE
935061,TRANSIT DISTRICT 33,WHITE
947985,073 DET SQUAD,BLACK
938078,TB SPECIAL OPERATIONS DIVISION,WHITE
927936,BUILDING MAINTENANCE SECT,HISPANIC
927937,CEIS TRADEMARK INFRINGEMENT UNIT,HISPANIC
975362,084 PRECINCT,ASIAN
936220,067 DET SQUAD,WHITE
961649,PBQS PUBLIC SAFETY TEAMS,WHITE
952477,088 PRECINCT,WHITE
938079,NARC BORO BRONX,WHITE
971835,CENTRAL ROBBERY DIVISION,WHITE
966162,113 PRECINCT,WHITE
916986,FIRST DEPUTY COMMISSIONER,WHITE
957392,TRANSIT DISTRICT 30,HISPANIC
948683,YOUTH STRATEGIES DIVISION,BLACK
958314,079 PRECINCT,HISPANIC
976000,104 PRECINCT,WHITE
944559,TRANSIT DISTRICT 23,HISPANIC
936223,DEPT OF INVESTIGATION SQUAD,WHITE
962951,WARRANT SECTION,HISPANIC
972383,PBQS COMMUNITY RESPONSE TEAM,WHITE
972536,109 PRECINCT,WHITE
931551,EMER SERV SQ 09,WHITE
927612,PATROL BORO BKLYN NORTH,BLACK
941439,MUNICIPAL SECURITY SECTION,WHITE
978404,112 PRECINCT,BLACK
969524,049 PRECINCT,WHITE
953612,OPERATIONS & ANALYSIS SECTION,BLACK
982769,RTS RECRUITS,HISPANIC
950087,CHIEF OF DEPARTMENT,WHITE
946792,TRANSIT BUREAU,WHITE
956441,PUBLIC SECURITY SECTION,WHITE
957394,EMER SERV SQ 04,WHITE
971229,049 PRECINCT,BLACK
948177,075 PRECINCT,BLACK
958318,073 PRECINCT,WHITE
960260,SVU TRANSIT SPECIAL VICTIMS SQUAD,BLACK
980398,HOUSING PSA 8,WHITE
934505,OFFICE OF THE CHIEF CRIME CONTROL STRATEGIES,WHITE
957395,HOUSING BOROUGH BRONX/QUEENS,WHITE
981096,RTS RECRUITS,WHITE
940971,INTEL CIS FIO PROGRAM,HISPANIC
976592,049 PRECINCT,HISPANIC
970993,STATEN ISLAND COURT SECTION,ASIAN
956443,FLEET SERVICES DIVISION,WHITE
969528,078 PRECINCT,BLACK
943008,014 PCT-MIDTOWN SO. PCT,HISPANIC
967779,TRANSIT DISTRICT 30,BLACK
977063,010 PRECINCT,WHITE
980397,HOUSING PSA 8,BLACK
978405,121 PRECINCT,WHITE
960262,120 PRECINCT,WHITE
960263,PBSI FERRY SECURITY UNIT,ASIAN
972537,MILITARY & EXTENDED LEAVE DESK,WHITE
970421,025 PRECINCT,ASIAN
938081,MILITARY & EXTENDED LEAVE DESK,BLACK
956444,052 PRECINCT,WHITE
959496,100 PCT ROCKAWAY BEACH DETAIL,WHITE
939926,HOUSING COMMUNITY AFFAIRS SECT,BLACK
947986,CHARACTER ASSESSMENT SECTION,WHITE
979730,107 PRECINCT,BLACK
969527,HOUSING PSA 4,HISPANIC
929745,FINANCIAL CRIMES TASK FORCE,WHITE
941441,TB ANTI TERRORISM BKLYN,WHITE
940731,INTEL CIS FIO PROGRAM,WHITE
944372,POLICE ACADEMY,HISPANIC
974755,INTEL CIS FIO PROGRAM,WHITE
941438,H&W EMPLOYEE ASSISTANCE UNIT,WHITE
946794,108 PRECINCT,WHITE
979012,018 PCT-MIDTOWN NO. PCT,HISPANIC
982144,RTS RECRUITS,WHITE
938082,DBQS VIDEO COLLECTION TEAM,BLACK
963806,044 PRECINCT,BLACK
954558,024 PRECINCT,WHITE
933649,BRONX STANDARDS & ASMT TM,WHITE
976001,TRANSIT DISTRICT 1,BLACK
962952,WORLD TRADE CENTER COMMAND,WHITE
959761,PROPERTY CLERK DIVISION,WHITE
934508,LOWER MANHATTAN SECURITY INITIATIVE,WHITE
955762,INTEL CIS FIO PROGRAM,WHITE
938083,DET BORO BROOKLYN NORTH,WHITE
963377,HOUSING PSA 3,WHITE
976002,105 PRECINCT,WHITE
934510,TB CANINE UNIT,WHITE
971836,068 PRECINCT,WHITE
968282,121 PRECINCT,WHITE
981097,RTS RECRUITS,WHITE
969529,111 PRECINCT,WHITE
940972,079 DET SQUAD,BLACK
971837,009 PRECINCT,BLACK
968283,024 PRECINCT,WHITE
980399,TIMES SQUARE UNIT,WHITE
938084,MILITARY & EXTENDED LEAVE DESK,ASIAN
953689,TRANSIT DISTRICT 12,WHITE
952480,QUEENS ROBBERY SQUAD,HISPANIC
962263,TRANSIT DISTRICT 11,BLACK
977781,083 PRECINCT,BLACK
973956,110 PRECINCT,HISPANIC
926586,MOUNTED UNIT,BLACK
978868,050 PRECINCT,HISPANIC
966469,SSD YOUTH RESPONSE TEAM,BLACK
943009,CHARACTER ASSESSMENT SECTION,BLACK
934511,HOUSING PSA 1,WHITE
944373,109 PRECINCT,WHITE
975268,121 PRECINCT,WHITE
938085,113 PRECINCT,HISPANIC
903452,JOINT TERRORIST TASK FORCE,WHITE
976594,045 PRECINCT,HISPANIC
966471,MILITARY & EXTENDED LEAVE DESK,WHITE
951688,HIGHWAY UNIT 5,WHITE
979062,042 PRECINCT,WHITE
955763,LAB EVIDENCE CTRL & SECURITY,WHITE
959498,109 PRECINCT,WHITE
946793,042 DET SQUAD,HISPANIC
954557,AC ZONE I QUEENS/BKLYN/S.I.,BLACK
969530,114 PRECINCT,HISPANIC
954560,046 PRECINCT,HISPANIC
922003,LICENSE DIVISION,BLACK
960261,TRANSIT DISTRICT 32,WHITE
966472,067 PRECINCT,HISPANIC
973958,014 PCT-MIDTOWN SO. PCT,HISPANIC
965667,PBQN COMMUNITY AFFAIRS SECTION,HISPANIC
964397,HOUSING PSA 1,HISPANIC
954556,076 PRECINCT,WHITE
941443,048 PRECINCT,HISPANIC
947717,DRUG ENFORCEMENT TASK FORCE,HISPANIC
958319,INTELLIGENCE DIVISION,WHITE
943010,TARU DRONE TEAM,HISPANIC
946795,026 PRECINCT,HISPANIC
940097,106 PRECINCT,WHITE
951552,043 PRECINCT,BLACK
959497,EMER SERV SQ 06,WHITE
940973,WARRANT SECTION,HISPANIC
932343,CEIS JOINT VIOLENT CRIMES TF,WHITE
970423,023 PRECINCT,HISPANIC
934514,063 DET SQUAD,HISPANIC
979063,020 PRECINCT,HISPANIC
950089,CRIME PREVENTION DIVISION,WHITE
901195,DET BORO QUEENS SOUTH,WHITE
938088,090 DET SQUAD,HISPANIC
948655,CCCS DISCOVERY LIAISON UNIT,HISPANIC
974756,073 PRECINCT,HISPANIC
973959,020 PRECINCT,HISPANIC
903456,OPERATIONS & ANALYSIS SECTION,WHITE
979731,060 PRECINCT,BLACK
964936,INTEL CIS FIO PROGRAM,WHITE
952482,NARC BORO MANHATTAN NORTH,HISPANIC
973058,HOUSING PSA 4,HISPANIC
968284,TRANSIT DISTRICT 32,HISPANIC
976501,030 PRECINCT,HISPANIC
982770,RTS RECRUITS,BLACK
954559,114 PRECINCT,HISPANIC
923570,AUTO CRIME UNIT,HISPANIC
978407,TRANSIT DISTRICT 20,ASIAN
943012,MEDICAL DIVISION,WHITE
943011,HOUSING BOROUGH BROOKLYN,HISPANIC
938343,114 PRECINCT,HISPANIC
962264,BROOKLYN SOUTH OPER NIGHT WATCH,WHITE
960265,TARU DRONE TEAM,WHITE
953690,H&W EMPLOYEE ASSISTANCE UNIT,HISPANIC
977782,TRANSIT DISTRICT 33,ASIAN
973957,MILITARY & EXTENDED LEAVE DESK,BLACK
981098,RTS RECRUITS,HISPANIC
964400,073 PRECINCT,ASIAN
978406,HOUSING PSA 1,HISPANIC
982145,RTS RECRUITS,HISPANIC
938090,073 PRECINCT,BLACK
979064,113 PRECINCT,BLACK
976502,104 PRECINCT,HISPANIC
981099,RTS RECRUITS,WHITE
938091,COMMUNITY OUTREACH DIVISION,BLACK
929756,EQUIPMENT SECTION,ASIAN
938092,084 PRECINCT,BLACK
946796,CRITICAL RESPONSE COMMAND,WHITE
922007,ESU CANINE TEAM,BLACK
946797,TB CANINE UNIT,WHITE
929757,FORCE INVESTIGATION DIVISION,WHITE
928749,POL LAB FIREARMS ANALYSIS SEC,WHITE
967781,NARC BORO QUEENS NORTH,HISPANIC
971341,MILITARY & EXTENDED LEAVE DESK,HISPANIC
961879,MILITARY & EXTENDED LEAVE DESK,HISPANIC
972336,TRANSIT DISTRICT 1,WHITE
963877,MILITARY & EXTENDED LEAVE DESK,BLACK
978408,TRANSIT DISTRICT 23,WHITE
974757,073 PRECINCT,HISPANIC
948685,PBSI FERRY SECURITY UNIT,WHITE
936227,DA SQ NY COUNTY,BLACK
973961,013 PRECINCT,HISPANIC
948686,STRATEGIC RESP GRP 2 BRONX,HISPANIC
965954,090 PRECINCT,HISPANIC
971839,001 PRECINCT,BLACK
938093,YANKEE STADIUM DETAIL,HISPANIC
936228,BARRIER SECTION,WHITE
898958,EXECUTIVE PROTECTION UNIT,WHITE
911017,NARC BORO MANHATTAN NORTH,WHITE
971342,WARRANT SECTION,HISPANIC
924963,071 PRECINCT,WHITE
936229,109 PRECINCT,HISPANIC
921990,CHARACTER ASSESSMENT SECTION,BLACK
964937,123 PRECINCT,WHITE
964399,109 PRECINCT,ASIAN
950091,HOUSING PSA 1,WHITE
948462,INTERNAL AFFAIRS BUREAU,ASIAN
979732,115 PRECINCT,HISPANIC
954562,047 PRECINCT,HISPANIC
969534,TRANSIT DISTRICT 33,HISPANIC
956447,EMERGENCY SERVICE UNIT,WHITE
954563,CHIEF CRIME CONTROL STRATEGIES,WHITE
980401,HOUSING PSA 9,WHITE
944375,044 PRECINCT,BLACK
977783,050 PRECINCT,HISPANIC
953694,062 PRECINCT,HISPANIC
973962,072 PRECINCT,HISPANIC
962265,075 PRECINCT,WHITE
954564,INTELLIGENCE DIVISION,HISPANIC
969535,DEP COMM LABOR RELATIONS,WHITE
945381,AC ZONE I QUEENS/BKLYN/S.I.,WHITE
950092,TB CITYWIDE VANDALS TASK FORCE,WHITE
960268,040 PRECINCT,HISPANIC
976003,HOUSING PSA 6,BLACK
958320,TRANSIT DISTRICT 34,WHITE
937961,CANDIDATE ASSESSMENT DIVISION,BLACK
938095,ESU CANINE TEAM,WHITE
934522,110 PRECINCT,WHITE
973260,PBMS COMMUNITY RESPONSE TEAM,WHITE
979065,115 PRECINCT,ASIAN
951553,CRC CANINE UNIT,WHITE
953693,OEEO INVESTIGATIONS UNIT,HISPANIC
960270,014 PCT-MIDTOWN SO. PCT,WHITE
938097,112 PRECINCT,WHITE
978276,MILITARY & EXTENDED LEAVE DESK,WHITE
938482,TRAINING SUPPORT SECTION,WHITE
918772,QUEENS COURT SECTION,WHITE
964401,078 DET SQUAD,HISPANIC
979066,010 PRECINCT,WHITE
971343,061 PRECINCT,HISPANIC
968285,066 PRECINCT,HISPANIC
962266,073 PRECINCT,WHITE
979619,109 PRECINCT,WHITE
938096,DET BORO BKLYN SO HOMICIDE SQ,BLACK
960271,TARU DRONE TEAM,WHITE
934523,PATROL SERVICES BUREAU WHEEL,WHITE
959501,INTERNAL AFFAIRS BUREAU,BLACK
981100,RTS RECRUITS,BLACK
955764,113TH DET SQUAD,WHITE
932351,018 PCT-MIDTOWN NO. PCT,HISPANIC
980402,RTS RECRUITS,BLACK
956353,PROPERTY CLERK SECTION,BLACK
924966,DBMS EVIDENCE COLLECTION TEAM,WHITE
977784,104 PRECINCT,WHITE
976596,049 PRECINCT,WHITE
972436,TRANSIT DISTRICT 2,BLACK
977785,TRANSIT DISTRICT 1,BLACK
965955,120 DETECTIVE SQUAD,HISPANIC
969536,050 PRECINCT,WHITE
951554,HOUSING PSA 2,BLACK
969537,043 PRECINCT,WHITE
924971,NARC BORO QUEENS SOUTH,BLACK
967782,TRANSIT DISTRICT 20,BLACK
958321,CRIMINAL INTELLIGENCE SECTION,BLACK
935873,LATENT PRINT SECTION,WHITE
980403,HOUSING PSA 1,WHITE
940915,QUEENS COURT SECTION,BLACK
939931,BARRIER SECTION,WHITE
979067,018 PCT-MIDTOWN NO. PCT,WHITE
932353,QUALITY ASSURANCE SECTION,WHITE
938099,EMERGENCY PREP & EXERCISE SECTION,BLACK
969533,030 PRECINCT,HISPANIC
978409,067 PRECINCT,WHITE
926593,122 PRECINCT,WHITE
979733,107 PRECINCT,WHITE
969538,102 PRECINCT,WHITE
962953,110 PRECINCT,WHITE
929507,TRANSIT DISTRICT 20,BLACK
973262,HOUSING PSA 9,WHITE
979734,107 PRECINCT,BLACK
911214,HWY DIST COLLISION INV SQD,WHITE
922010,STRATEGIC RESP GRP 5 SI,HISPANIC
945471,COMMUNITY AFFAIRS BUREAU,BLACK
953697,079 PRECINCT,BLACK
977481,114 PRECINCT,BLACK
977786,HOUSING PSA 3,BLACK
953695,007 PRECINCT,HISPANIC
960269,116 PRECINCT,WHITE
961499,INTELLIGENCE DIVISION,BLACK
934524,024 PRECINCT,WHITE
